firearms in civilian possession,Registered firearms,Unregistered firearms,Gun Death Rate,Suicide Rate by Firearm,Unintentional Deaths by Firearms, Police Killing (per 10M),The regulation of guns
393347000.0,1073743.0,3922732571.32,434.0,0.23,606.0,2018.0,0.0
2000.0,1705.0,295.0,1.39,0.97,0.13,0.0,1.0
14859000.0,0.0,0.0,0.31,0.17,0.12,0.0,0.0
115000.0,55000.0,60000.0,0.0,0.0,0.0,0.0,0.0
2719000.0,1186086.0,1532914.0,0.08,0.6,0.02,0.0,0.0
245000.0,103536.0,141464.0,0.61,0.37,0.48,34.7,0.0
12708000.0,2081442.0,10626558.0,1.9,0.07,4.16,0.0,1.0
1198000.0,605313.0,592687.0,3.64,2.67,0.88,21.6,1.0
285000.0,154327.0,130673.0,0.64,0.49,0.5,0.0,1.0
1793000.0,1542396.0,250604.0,0.0,0.0,0.0,0.0,0.0
1927000.0,0.0,0.0,0.18,0.75,0.04,1.7,1.0
106000.0,73000.0,33000.0,0.13,2.47,0.04,0.0,1.0
1185000.0,353000.0,832000.0,0.27,0.09,0.16,0.0,1.0
2577000.0,837000.0,1740000.0,0.0,0.0,0.0,275.7,1.0
621000.0,169687.0,451313.0,0.36,0.1,0.12,0.0,0.0
11000.0,0.0,0.0,0.78,0.15,0.07,28.3,1.0
1537000.0,1254638.0,282362.0,4.3,0.24,0.73,0.0,1.0
119000.0,96425.0,22575.0,0.43,0.56,0.1,0.0,1.0
2332000.0,791719.0,1540281.0,0.34,1.58,0.06,4.3,1.0
1212000.0,1200000.0,12000.0,15.04,0.73,3.03,0.0,1.0
436000.0,43206.0,392794.0,2.57,0.44,0.74,0.0,0.0
2296000.0,1955478.0,340522.0,1.5,0.05,0.16,0.0,0.0
13000.0,0.0,0.0,0.1,0.17,0.25,0.0,0.0
43917000.0,6000000.0,37917000.0,2.56,0.39,0.83,0.0,1.0
2186000.0,1400000.0,786000.0,0.26,0.78,0.07,0.0,0.0
12732000.0,4501235.0,8230765.0,3.48,0.88,0.5,0.0,0.0
55000.0,0.0,0.0,20.8,0.58,0.31,276.2,1.0
15822000.0,5830000.0,9992000.0,0.0,0.0,0.0,0.0,0.0
7588000.0,0.0,0.0,0.07,0.05,0.01,0.0,1.0
7000.0,0.0,0.0,0.55,0.93,0.23,0.0,1.0
171000.0,0.0,0.0,3.91,0.53,0.84,60.4,1.0
110000.0,86000.0,24000.0,0.28,0.5,1.1,35.9,1.0
74000.0,17110.0,56890.0,0.95,0.09,0.13,0.0,1.0
1473000.0,120000.0,1353000.0,1.03,0.52,0.51,0.0,1.0
5895000.0,0.0,0.0,0.5,1.88,0.05,9.7,1.0
1920000.0,1010000.0,910000.0,0.0,0.0,0.0,0.0,0.0
61000.0,49142.0,11858.0,0.0,0.0,0.0,0.0,0.0
685000.0,39000.0,646000.0,1.27,0.96,1.45,64.4,0.0
792000.0,0.0,0.0,2.99,0.49,0.99,0.0,0.0
1140000.0,392000.0,748000.0,0.0,0.0,0.0,0.0,0.0
390000.0,0.0,0.0,1.82,0.66,0.21,0.0,1.0
1569000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18000.0,0.0,0.0,24.8,1.0,0.2,34.1,1.0
